,year,ratio_HS_total,ratio_SC_total,ratio_BA_total,ratio_AD_total,ratio_A_BA_total,ratio_A_AD_total,ratio_A_SC_total,ratio_A_HS_total,ratio_B_BA_total,ratio_B_AD_total,ratio_B_SC_total,ratio_B_HS_total,ratio_W_BA_total,ratio_W_AD_total,ratio_W_SC_total,ratio_W_HS_total,ratio_L_BA_total,ratio_L_AD_total,ratio_L_SC_total,ratio_L_HS_total,ratio_M_HS_total,ratio_M_SC_total,ratio_M_BA_total,ratio_M_AD_total,ratio_F_HS_total,ratio_F_SC_total,ratio_F_BA_total,ratio_F_AD_total,ratio_W_M_HS_total,ratio_W_M_SC_total,ratio_W_M_BA_total,ratio_W_M_AD_total,ratio_W_F_HS_total,ratio_W_F_SC_total,ratio_W_F_BA_total,ratio_W_F_AD_total,ratio_L_M_HS_total,ratio_L_M_SC_total,ratio_L_M_BA_total,ratio_L_M_AD_total,ratio_L_F_HS_total,ratio_L_F_SC_total,ratio_L_F_BA_total,ratio_L_F_AD_total,ratio_B_M_HS_total,ratio_B_M_SC_total,ratio_B_M_BA_total,ratio_B_M_AD_total,ratio_B_F_HS_total,ratio_B_F_SC_total,ratio_B_F_BA_total,ratio_B_F_AD_total,ratio_A_M_HS_total,ratio_A_M_SC_total,ratio_A_M_BA_total,ratio_A_M_AD_total,ratio_A_F_HS_total,ratio_A_F_SC_total,ratio_A_F_BA_total,ratio_A_F_AD_total
0,1995,0.8329718004338394,0.9783080260303688,1.3665943600867678,1.8405639913232104,1.2809110629067244,1.7635574837310195,0.9598698481561823,0.7581344902386117,1.1973969631236443,1.6008676789587852,0.8329718004338394,0.710412147505423,1.4013015184381779,1.880694143167028,1.0,0.8741865509761388,1.1995661605206074,1.6800433839479392,0.8459869848156182,0.7288503253796096,1.0,1.1453362255965294,1.561822125813449,2.0824295010845986,0.7180043383947939,0.8329718004338394,1.165943600867679,1.6008676789587852,1.0412147505422993,1.1865509761388287,1.6008676789587852,2.0824295010845986,0.7288503253796096,0.8329718004338394,1.183297180043384,1.6008676789587852,0.8123644251626898,1.0,1.2809110629067244,1.880694143167028,0.6247288503253796,0.7678958785249458,1.0932754880694142,1.5845986984815619,0.7993492407809111,0.8991323210412148,1.2494577006507592,1.6182212581344901,0.6388286334056399,0.7809110629067245,1.1041214750542299,1.5509761388286334,0.8329718004338394,1.0412147505422993,1.4414316702819956,1.9240780911062907,0.6724511930585684,0.8394793926247288,1.143167028199566,1.6008676789587852
1,1996,0.8493449781659389,0.980349344978166,1.3744541484716157,1.8580786026200873,1.294759825327511,1.796943231441048,0.9148471615720524,0.7456331877729258,1.175764192139738,1.546943231441048,0.8264192139737991,0.7063318777292577,1.3744541484716157,1.8842794759825328,1.0109170305676856,0.8875545851528385,1.224890829694323,1.7663755458515285,0.8427947598253275,0.7183406113537117,1.0109170305676856,1.1637554585152838,1.5698689956331877,2.041484716157205,0.7139737991266376,0.8231441048034934,1.175764192139738,1.5698689956331877,1.0207423580786026,1.175764192139738,1.5698689956331877,2.118995633187773,0.7183406113537117,0.8329694323144105,1.175764192139738,1.5720524017467248,0.7958515283842795,0.980349344978166,1.3165938864628821,1.8842794759825328,0.6495633187772926,0.7532751091703057,1.1539301310043668,1.5698689956331877,0.7838427947598253,0.9192139737991266,1.255458515283843,1.6288209606986899,0.6528384279475983,0.8067685589519651,1.0982532751091703,1.482532751091703,0.8657205240174672,0.980349344978166,1.388646288209607,1.9617903930131004,0.6637554585152838,0.8471615720524017,1.1735807860262009,1.5305676855895196
2,1997,0.8604395604395605,1.0,1.3835164835164835,1.8736263736263736,1.3054945054945055,1.9,0.9274725274725275,0.7681318681318682,1.1516483516483516,1.5,0.8395604395604396,0.7197802197802198,1.4,1.9197802197802198,1.0,0.8879120879120879,1.2516483516483516,1.5384615384615385,0.8802197802197802,0.7197802197802198,1.0,1.1516483516483516,1.6,2.1,0.7197802197802198,0.8395604395604396,1.1725274725274726,1.5758241758241758,1.0395604395604396,1.2,1.6142857142857143,2.1142857142857143,0.7296703296703296,0.8461538461538461,1.1923076923076923,1.6,0.8,0.9604395604395605,1.3835164835164835,1.6076923076923078,0.6395604395604395,0.8,1.1516483516483516,1.3835164835164835,0.8,0.9494505494505494,1.2296703296703297,1.6923076923076923,0.6395604395604395,0.7945054945054945,1.10989010989011,1.3835164835164835,0.8,1.0,1.4395604395604396,2.0,0.7098901098901099,0.8318681318681319,1.2,1.6120879120879121
3,1998,0.8553326293558606,0.9736008447729673,1.3875395987328405,1.8268215417106652,1.3157338965153116,1.753959873284055,0.9123548046462513,0.7602956705385427,1.1404435058078142,1.5205913410770855,0.8553326293558606,0.7296726504751848,1.4255543822597676,1.8268215417106652,1.0052798310454065,0.8764519535374868,1.2407602956705386,1.5543822597676875,0.8553326293558606,0.7560718057022175,0.9883843717001056,1.1404435058078142,1.6082365364308342,2.0454065469904963,0.7222808870116156,0.8363252375923971,1.1837381203801478,1.570221752903907,1.0263991552270328,1.1689545934530094,1.6441393875395987,2.1045406546990497,0.7296726504751848,0.8363252375923971,1.2048574445617741,1.570221752903907,0.8035902851108765,0.9503695881731784,1.4255543822597676,1.7961985216473073,0.6578669482576558,0.7602956705385427,1.1288278775079197,1.3421330517423442,0.8173178458289335,0.9503695881731784,1.2787750791974657,1.6821541710665258,0.665258711721225,0.7793030623020063,1.0982048574445618,1.4614572333685323,0.8363252375923971,0.9883843717001056,1.4255543822597676,1.8268215417106652,0.6694825765575502,0.8194297782470961,1.2164730728616684,1.611404435058078
4,1999,0.8378099173553719,0.9638429752066116,1.3977272727272727,1.8181818181818181,1.3088842975206612,1.746900826446281,0.9214876033057852,0.7634297520661157,1.2231404958677685,1.572314049586777,0.8367768595041323,0.7272727272727273,1.3977272727272727,1.8181818181818181,1.0,0.8729338842975206,1.2582644628099173,1.677685950413223,0.8378099173553719,0.7272727272727273,0.981404958677686,1.121900826446281,1.6074380165289257,2.0960743801652892,0.7200413223140496,0.8223140495867769,1.1818181818181819,1.572314049586777,1.0185950413223142,1.1632231404958677,1.6601239669421488,2.0960743801652892,0.7272727272727273,0.8378099173553719,1.18698347107438,1.572314049586777,0.7995867768595041,0.9783057851239669,1.3977272727272727,1.9132231404958677,0.6549586776859504,0.753099173553719,1.1177685950413223,1.3977272727272727,0.8068181818181818,0.9090909090909091,1.3274793388429753,1.7365702479338843,0.6477272727272727,0.768595041322314,1.1528925619834711,1.5020661157024793,0.8326446280991735,1.0475206611570247,1.4545454545454546,1.9814049586776858,0.7272727272727273,0.8378099173553719,1.1745867768595042,1.53099173553719
5,2000,0.8335035750766088,0.9601634320735445,1.3687436159346271,1.7364657814096016,1.335035750766088,1.8355464759959141,0.9203268641470889,0.7783452502553626,1.180796731358529,1.4688457609805925,0.8406537282941777,0.7099080694586313,1.397344228804903,1.8028600612870276,0.9897854954034729,0.8539325842696629,1.215526046986721,1.602655771195097,0.8335035750766088,0.6945863125638406,0.9724208375893769,1.128702757916241,1.602655771195097,2.0020429009193053,0.6945863125638406,0.8335035750766088,1.1685393258426966,1.501532175689479,1.0,1.1685393258426966,1.6496424923391215,2.0020429009193053,0.7048008171603677,0.8335035750766088,1.1736465781409602,1.5352400408580185,0.7640449438202247,0.9550561797752809,1.335035750766088,1.8028600612870276,0.6424923391215526,0.7640449438202247,1.083758937691522,1.3442288049029623,0.7987742594484167,0.9376915219611849,1.2349336057201226,1.669050051072523,0.6547497446373851,0.7814096016343207,1.146067415730337,1.3462717058222675,0.8682328907048008,1.0418794688457609,1.4759959141981613,2.0296220633299287,0.6945863125638406,0.8335035750766088,1.2012257405515832,1.602655771195097
6,2001,0.8392675483214649,0.9664292980671414,1.3550356052899288,1.7741607324516786,1.342828077314344,1.930824008138352,0.9064089521871821,0.7650050864699899,1.1932858596134284,1.484231943031536,0.8392675483214649,0.7131230925737538,1.399796541200407,1.8056968463886063,1.0,0.854526958290946,1.2115971515768056,1.5493387589013226,0.8728382502543235,0.7385554425228891,0.9664292980671414,1.1414038657171923,1.6134282807731435,2.0844354018311293,0.7070193285859614,0.8392675483214649,1.174974567650051,1.5106815869786367,1.007121057985758,1.167853509664293,1.6134282807731435,2.0976602238046795,0.7222787385554426,0.8392675483214649,1.174974567650051,1.5178026449643947,0.8056968463886063,0.9684638860630722,1.3550356052899288,1.6785350966429298,0.671414038657172,0.7690742624618515,1.0925737538148526,1.3550356052899288,0.8056968463886063,0.943031536113937,1.2777212614445574,1.7741607324516786,0.6642929806714141,0.8056968463886063,1.1444557477110886,1.3550356052899288,0.8392675483214649,1.0325534079348933,1.4699898270600202,2.044760935910478,0.671414038657172,0.8056968463886063,1.174974567650051,1.4771108850457781
7,2002,0.8448979591836735,0.9979591836734694,1.3938775510204082,1.8224489795918368,1.3306122448979592,1.9173469387755102,0.9316326530612244,0.7846938775510204,1.2295918367346939,1.5346938775510204,0.8418367346938775,0.7346938775510204,1.4387755102040816,1.8510204081632653,0.9979591836734694,0.8653061224489796,1.2469387755102042,1.586734693877551,0.8948979591836734,0.7346938775510204,0.9979591836734694,1.1479591836734695,1.5979591836734695,2.0785714285714287,0.7316326530612245,0.8428571428571429,1.1979591836734693,1.5346938775510204,0.9979591836734694,1.1642857142857144,1.663265306122449,2.13265306122449,0.7346938775510204,0.863265306122449,1.2142857142857142,1.5581632653061224,0.8316326530612245,0.9979591836734694,1.3520408163265305,1.7897959183673469,0.6653061224489796,0.7979591836734694,1.0857142857142856,1.3642857142857143,0.8214285714285714,0.9326530612244898,1.310204081632653,1.5979591836734695,0.6653061224489796,0.7979591836734694,1.1428571428571428,1.476530612244898,0.889795918367347,1.026530612244898,1.5346938775510204,2.0785714285714287,0.7,0.7979591836734694,1.1510204081632653,1.5704081632653062
8,2003,0.834510595358224,0.9626639757820383,1.3874873864783048,1.7891019172552978,1.2835519677093845,1.8496468213925328,0.9253279515640767,0.7699293642785066,1.218970736629667,1.4772956609485368,0.834510595358224,0.7346115035317861,1.3874873864783048,1.822401614530777,0.9868819374369324,0.8668012108980827,1.3874873864783048,1.7891019172552978,0.9626639757820383,0.834510595358224,0.9626639757820383,1.1231079717457113,1.6044399596367305,2.0504540867810293,0.722502522704339,0.834510595358224,1.2028254288597375,1.5418768920282544,0.9788092835519677,1.15539858728557,1.6044399596367305,2.1019172552976793,0.7376387487386479,0.851664984863774,1.2028254288597375,1.5438950554994955,0.9626639757820383,1.1231079717457113,1.6044399596367305,2.0504540867810293,0.722502522704339,0.834510595358224,1.2028254288597375,1.5418768920282544,0.8022199798183652,0.9243188698284561,1.22401614530777,1.5398587285570131,0.6740665993945509,0.786074672048436,1.2028254288597375,1.4490413723511604,0.8314833501513622,1.058526740665994,1.4813319878910192,2.0060544904137236,0.7063572149344097,0.8536831483350151,1.15539858728557,1.4500504540867811
9,2004,0.8386773547094188,0.9549098196392786,1.343687374749499,1.7925851703406814,1.343687374749499,1.9258517034068137,0.8957915831663327,0.7454909819639278,1.1943887775551103,1.5531062124248498,0.8156312625250501,0.7454909819639278,1.374749498997996,1.7925851703406814,0.9859719438877755,0.8697394789579158,1.343687374749499,1.7925851703406814,0.9549098196392786,0.8386773547094188,0.9509018036072144,1.1182364729458918,1.5531062124248498,2.090180360721443,0.720440881763527,0.8356713426853707,1.1943887775551103,1.5080160320641283,0.9939879759519038,1.154308617234469,1.5821643286573146,2.090180360721443,0.7404809619238477,0.8476953907815631,1.1943887775551103,1.5190380761523046,0.9509018036072144,1.1182364729458918,1.5531062124248498,2.090180360721443,0.720440881763527,0.8356713426853707,1.1943887775551103,1.5080160320641283,0.7765531062124249,0.9008016032064128,1.254509018036072,1.6372745490981964,0.6833667334669339,0.7765531062124249,1.1182364729458918,1.4929859719438878,0.8236472945891784,0.9318637274549099,1.4929859719438878,2.090180360721443,0.6833667334669339,0.8136272545090181,1.1943887775551103,1.5531062124248498
10,2005,0.8396793587174348,0.9529058116232465,1.3527054108216432,1.7344689378757514,1.3226452905811623,1.8787575150300602,0.9018036072144289,0.7545090180360722,1.156312625250501,1.503006012024048,0.8086172344689379,0.7114228456913828,1.3867735470941884,1.7695390781563127,0.9769539078156313,0.8657314629258517,1.3527054108216432,1.7344689378757514,0.9529058116232465,0.8396793587174348,0.9318637274549099,1.097194388777555,1.560120240480962,2.0501002004008018,0.7214428857715431,0.8296593186372746,1.156312625250501,1.503006012024048,0.9619238476953907,1.1272545090180361,1.5901803607214429,2.082164328657315,0.7214428857715431,0.8416833667334669,1.156312625250501,1.503006012024048,0.9318637274549099,1.097194388777555,1.560120240480962,2.0501002004008018,0.7214428857715431,0.8296593186372746,1.156312625250501,1.503006012024048,0.751503006012024,0.9018036072144289,1.2124248496993988,1.5891783567134268,0.6462925851703407,0.751503006012024,1.0681362725450902,1.4458917835671343,0.8316633266533067,0.9619238476953907,1.4458917835671343,2.082164328657315,0.7214428857715431,0.8266533066132264,1.2024048096192386,1.5901803607214429
11,2006,0.8427991886409736,0.9553752535496958,1.3752535496957403,1.7647058823529411,1.356997971602434,1.8377281947261663,0.8823529411764706,0.7647058823529411,1.1348884381338742,1.4929006085192698,0.8235294117647058,0.7058823529411765,1.4127789046653143,1.8103448275862069,0.9898580121703854,0.8661257606490872,1.3752535496957403,1.7647058823529411,0.9553752535496958,0.8427991886409736,0.9553752535496958,1.1176470588235294,1.5557809330628802,2.0922920892494927,0.7058823529411765,0.8326572008113591,1.1764705882352942,1.4989858012170385,0.9898580121703854,1.1308316430020284,1.6115618661257607,2.1206896551724137,0.7200811359026369,0.8468559837728195,1.1866125760649087,1.526369168356998,0.9553752535496958,1.1176470588235294,1.5557809330628802,2.0922920892494927,0.7058823529411765,0.8326572008113591,1.1764705882352942,1.4989858012170385,0.7718052738336714,0.8823529411764706,1.2718052738336714,1.6967545638945234,0.6470588235294118,0.7647058823529411,1.1176470588235294,1.4148073022312373,0.8356997971602435,0.9776876267748479,1.526369168356998,2.0922920892494927,0.7068965517241379,0.8367139959432048,1.1764705882352942,1.588235294117647
