report_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,all_sex,male,female,all_races,white,black,asian,his_lan,all_union,member,repped_by,non-union,all_edu,less_hs,hs,some_col,bach,advan
total,480,490,500,526,550,576,596,601,623,644,665,680,700,736,760,769,769,796,800,807,808,841,865,900,939,1000,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
total men,550,564,576,600,620,650,675,692,701,727,743,769,792,820,850,850,865,880,894,900,920,942,962,1000,1032,1115,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
total women,400,414,425,450,462,480,500,528,550,560,577,600,614,644,665,673,692,698,720,730,720,751,769,798,814,900,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Less than HS,300,300,312,320,330,346,360,380,400,400,400,400,420,440,440,440,450,462,468,480,480,500,520,550,600,600,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
High School,400,416,430,450,461,480,500,508,520,540,559,573,580,600,600,600,620,634,640,650,650,668,680,710,720,769,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Some College,470,480,500,512,530,553,576,600,600,615,634,650,673,688,692,700,702,720,720,731,726,750,769,800,808,865,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bachelors Degree,656,673,692,730,769,788,807,838,865,865,900,935,962,968,1000,1000,1000,1019,1058,1058,1077,1115,1153,1154,1200,1250,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Advanced Degree,884,910,937,961,1000,1000,1057,1096,1115,1154,1154,1200,1240,1279,1327,1346,1346,1384,1385,1372,1385,1442,1442,1500,1538,1615,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Male + Less than HS,300,300,312,320,330,346,360,380,400,400,400,400,420,440,440,440,450,462,468,480,480,500,520,550,600,600,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Male + High School,400,416,430,450,461,480,500,508,520,540,559,573,580,600,600,600,620,634,640,650,650,668,680,710,720,769,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Male + Some College,470,480,500,512,530,553,576,600,600,615,634,650,673,688,692,700,702,720,720,731,726,750,769,800,808,865,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Male + Bachelors Degree,656,673,692,730,769,788,807,838,865,865,900,935,962,968,1000,1000,1000,1019,1058,1058,1077,1115,1153,1154,1200,1250,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Male + Advanced Degree,884,910,937,961,1000,1000,1057,1096,1115,1154,1154,1200,1240,1279,1327,1346,1346,1384,1385,1372,1385,1442,1442,1500,1538,1615,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Female + Less than HS,300,300,312,320,330,346,360,380,400,400,400,400,420,440,440,440,450,462,468,480,480,500,520,550,600,600,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Female + High School,400,416,430,450,461,480,500,508,520,540,559,573,580,600,600,600,620,634,640,650,650,668,680,710,720,769,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Female + Some College,470,480,500,512,530,553,576,600,600,615,634,650,673,688,692,700,702,720,720,731,726,750,769,800,808,865,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female + Bachelors Degree,656,673,692,730,769,788,807,838,865,865,900,935,962,968,1000,1000,1000,1019,1058,1058,1077,1115,1153,1154,1200,1250,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Female + Advanced Degree,884,910,937,961,1000,1000,1057,1096,1115,1154,1154,1200,1240,1279,1327,1346,1346,1384,1385,1372,1385,1442,1442,1500,1538,1615,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
White,500,500,519,548,567,576,600,625,640,668,680,696,720,760,769,769,800,800,810,830,840,865,900,923,961,1000,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
White + Less than HS,300,310,320,325,340,350,369,390,400,400,400,408,428,450,450,440,450,480,480,480,491,500,520,560,600,615,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
White + High School,420,435,444,461,480,492,509,520,540,560,576,589,600,615,630,625,640,653,660,673,676,688,715,740,760,800,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
White + Some College,480,495,500,529,550,570,596,600,615,635,650,673,688,700,715,720,731,741,744,760,753,769,800,810,850,900,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
White + Bachelors Degree,673,673,700,750,769,805,834,865,865,885,923,961,962,1000,1000,1000,1038,1040,1058,1076,1100,1153,1154,1160,1212,1269,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
White + Advanced Degree,903,923,960,961,1000,1038,1076,1113,1136,1154,1177,1231,1250,1288,1346,1346,1346,1385,1385,1375,1385,1442,1442,1500,1538,1600,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Hispanic or Latino,340,350,360,380,400,400,440,450,623,644,665,680,700,736,760,769,769,796,800,807,808,841,865,900,939,1000,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Hispanic or Latino + Less than HS,266,276,280,300,300,320,340,356,400,400,400,400,420,440,440,440,450,462,468,480,480,500,520,550,600,600,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Hispanic or Latino + High School,350,352,360,398,400,400,440,442,520,540,559,573,580,600,600,600,620,634,640,650,650,668,680,710,720,769,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Hispanic or Latino + Some College,406,413,440,450,461,480,520,538,600,615,634,650,673,688,692,700,702,720,720,731,726,750,769,800,808,865,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Hispanic or Latino + Bachelors Degree,576,600,626,653,692,700,722,750,865,865,900,935,962,968,1000,1000,1000,1019,1058,1058,1077,1115,1153,1154,1200,1250,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Hispanic or Latino + Advanced Degree,807,865,769,818,923,923,923,954,1115,1154,1154,1200,1240,1279,1327,1346,1346,1384,1385,1372,1385,1442,1442,1500,1538,1615,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
White + Male,576,576,600,615,643,673,692,711,730,750,768,776,800,850,865,865,884,904,920,923,948,962,996,1002,1057,1150,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Hispanic or Latino + Male,360,360,380,400,411,426,461,480,701,727,743,769,792,820,850,850,865,880,894,900,920,942,962,1000,1032,1115,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
White + Male + Less than HS,346,346,350,360,374,385,400,400,420,438,442,458,480,496,492,480,495,519,500,520,520,560,600,600,650,680,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Hispanic or Latino + Male + Less than HS,280,292,300,320,323,346,360,384,420,425,440,450,468,481,483,480,480,500,500,519,520,556,577,600,640,670,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
White + Male + High School,500,500,520,540,560,576,600,600,610,640,640,673,680,710,720,720,720,740,750,760,769,769,800,821,858,880,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Hispanic or Latino + Male + High School,390,390,400,423,440,440,480,500,600,612,620,650,667,688,694,692,700,720,720,731,738,747,769,800,807,860,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
White + Male + Some College,570,576,600,615,640,673,696,700,720,743,750,769,800,808,820,832,839,846,850,865,866,880,920,961,1000,1019,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Hispanic or Latino + Male + Some College,480,480,480,500,538,550,577,600,700,720,730,760,769,800,800,800,804,808,808,838,848,865,880,923,962,1000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
White + Male + Bachelors Degree,769,769,807,865,913,950,961,1000,1000,1019,1058,1096,1153,1154,1200,1154,1192,1220,1250,1250,1269,1346,1346,1346,1423,1500,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Hispanic or Latino + Male + Bachelors Degree,615,645,692,750,769,769,807,813,1000,1000,1038,1058,1106,1154,1154,1154,1154,1200,1242,1211,1250,1292,1346,1346,1385,1447,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
White + Male + Advanced Degree,1000,1038,1057,1107,1153,1153,1250,1282,1310,1346,1385,1442,1442,1522,1538,1558,1596,1634,1634,1626,1635,1673,1731,1769,1846,1923,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Hispanic or Latino + Male + Advanced Degree,903,923,804,945,1052,1038,1000,1076,1278,1346,1364,1423,1442,1500,1538,1538,1538,1596,1615,1615,1618,1654,1730,1750,1846,1923,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
White + Female,404,422,440,460,479,490,519,540,560,576,591,600,624,655,673,680,700,712,730,745,740,769,800,807,840,920,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Hispanic or Latino + Female,307,320,323,346,360,378,400,408,550,560,577,600,614,644,665,673,692,698,720,730,720,751,769,798,814,900,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
White + Female + Less than HS,250,253,270,280,280,300,310,320,327,338,346,354,362,372,384,390,400,400,400,400,405,420,440,480,490,520,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Hispanic or Latino + Female + Less than HS,235,240,250,250,260,280,300,300,329,339,344,360,362,375,385,400,400,397,400,400,402,420,440,470,481,525,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
White + Female + High School,350,352,365,384,400,406,430,442,460,477,480,490,500,520,536,538,558,560,561,576,576,581,600,615,635,673,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Hispanic or Latino + Female + High School,300,318,320,346,360,370,400,400,450,464,480,480,500,510,520,525,544,540,557,560,560,576,590,600,614,652,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
White + Female + Some College,400,408,423,440,461,480,500,519,531,546,560,576,580,600,615,615,630,640,640,644,646,673,684,700,720,769,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Hispanic or Latino + Female + Some College,369,369,400,400,414,440,458,480,520,538,552,566,577,600,600,600,615,630,630,635,634,650,673,680,711,760,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
White + Female + Bachelors Degree,568,576,596,634,653,676,700,730,750,769,769,807,828,846,865,865,900,900,926,952,950,962,1000,1000,1057,1108,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Hispanic or Latino + Female + Bachelors Degree,525,565,576,594,615,624,651,653,750,769,769,800,823,850,865,865,888,885,929,947,950,961,1000,1000,1057,1100,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
White + Female + Advanced Degree,769,770,800,826,865,884,904,937,962,978,1000,1038,1058,1116,1154,1154,1154,1154,1200,1192,1192,1250,1275,1310,1346,1400,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Hispanic or Latino + Female + Advanced Degree,761,769,692,706,769,774,807,820,961,971,1000,1019,1058,1115,1153,1154,1154,1154,1200,1192,1192,1250,1269,1308,1346,1423,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Black,384,400,400,437,450,480,483,500,519,528,530,560,577,600,600,620,630,642,650,650,642,676,680,700,750,800,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Black + Less than HS,280,284,300,300,307,322,323,350,365,360,360,393,400,400,400,404,414,400,430,450,423,440,478,460,520,560,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Black + High School,341,346,360,384,400,409,425,442,458,480,473,480,481,500,520,525,536,538,540,560,550,562,576,600,600,662,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Black + Some College,400,405,420,450,460,484,500,506,520,525,538,560,577,590,600,600,600,600,600,613,610,640,665,650,690,731,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Black + Bachelors Degree,575,576,576,600,673,680,711,739,760,769,769,772,807,850,846,865,885,865,960,900,943,900,923,961,1000,1057,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Black + Advanced Degree,769,758,750,800,865,846,884,923,921,1000,1000,1015,1065,1153,1135,1073,1077,1223,1200,1154,1154,1154,1192,1250,1292,1388,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Black + Male,412,420,440,480,486,508,520,540,560,572,563,600,600,635,640,653,680,692,680,700,700,720,720,760,784,850,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Black + Male + Less than HS,300,320,320,325,360,364,362,386,400,400,400,400,440,440,445,443,440,442,460,462,480,480,481,500,576,600,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Black + Male + High School,384,384,400,430,444,460,480,494,500,500,500,525,520,560,573,577,592,592,580,600,600,600,625,650,673,720,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Black + Male + Some College,432,450,475,500,500,540,562,561,576,580,600,600,634,640,640,649,673,680,652,673,700,725,720,750,769,800,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Black + Male + Bachelors Degree,600,615,615,673,730,711,761,788,763,808,807,865,865,874,900,951,962,962,971,923,1000,962,962,1000,1057,1154,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Black + Male + Advanced Degree,777,798,846,885,955,961,1057,961,960,1054,1057,1154,1153,1211,1200,1250,1154,1346,1269,1346,1288,1288,1300,1400,1442,1538,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Black + Female,360,366,380,400,409,440,460,480,490,500,500,520,550,576,595,600,600,600,615,615,600,640,661,653,700,769,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Black + Female + Less than HS,260,260,264,270,280,300,300,317,328,320,338,360,360,381,393,398,400,368,400,418,400,400,440,420,480,520,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Black + Female + High School,307,320,320,350,356,377,396,400,420,440,430,440,464,480,490,481,485,495,500,500,480,519,520,540,560,600,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Black + Female + Some College,375,395,397,410,423,450,480,480,490,500,500,520,539,568,575,576,576,577,577,577,573,600,609,600,638,692,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Black + Female + Bachelors Degree,530,538,555,578,634,660,682,687,750,720,711,760,769,808,816,827,824,808,904,865,900,846,900,923,961,1000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Black + Female + Advanced Degree,745,726,692,769,826,775,807,888,903,961,962,962,1057,1058,1058,1000,1038,1145,1154,1096,1058,1150,1115,1154,1225,1269,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Asian,480,480,500,531,576,600,613,623,673,673,720,761,800,827,840,810,840,884,920,944,961,1000,1000,1057,1153,1250,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Asian + Less than HS,282,300,300,320,320,334,360,360,371,400,384,450,400,420,429,448,440,450,440,480,462,500,500,520,552,600,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Asian + High School,364,365,384,400,420,448,456,472,480,480,502,520,550,560,568,576,560,562,577,600,600,623,625,660,680,700,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Asian + Some College,461,448,464,480,507,530,540,560,577,577,600,600,650,640,650,670,673,673,692,710,700,720,750,769,800,865,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Asian + Bachelors Degree,615,634,653,692,720,769,800,800,800,865,880,923,962,1000,980,1000,1000,1058,1130,1120,1153,1154,1250,1200,1346,1346,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Asian + Advanced Degree,847,880,950,923,961,1057,1150,1153,1153,1240,1250,1250,1269,1385,1360,1442,1385,1442,1500,1538,1538,1635,1635,1654,1846,1903,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Asian + Male,550,571,576,600,640,680,712,730,769,769,800,848,923,961,942,923,961,1000,1038,1019,1076,1115,1154,1200,1250,1400,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Asian + Male + Less than HS,320,320,320,346,360,364,370,384,400,432,406,466,443,481,481,480,480,462,480,500,480,574,566,577,600,600,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Asian + Male + High School,400,424,400,440,458,500,500,535,518,530,553,568,601,595,600,607,600,615,600,625,640,668,685,750,720,786,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Asian + Male + Some College,500,480,500,520,576,600,615,617,660,600,640,665,720,692,712,707,750,720,775,747,769,800,800,852,875,962,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Asian + Male + Bachelors Degree,692,680,720,750,800,850,876,923,923,961,962,1038,1096,1153,1057,1101,1154,1192,1250,1229,1250,1317,1397,1384,1500,1519,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Asian + Male + Advanced Degree,924,961,1000,961,1090,1169,1218,1250,1250,1346,1385,1423,1442,1538,1505,1538,1538,1538,1692,1730,1720,1846,1796,1836,1961,1971,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Asian + Female,420,426,450,462,500,520,530,538,576,577,635,664,692,730,758,750,740,760,800,833,840,865,890,903,1000,1098,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Asian + Female + Less than HS,250,266,280,294,300,304,330,350,350,360,355,400,380,396,400,423,413,411,400,420,450,450,450,480,480,600,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Asian + Female + High School,323,325,355,352,400,400,400,421,440,440,480,481,481,515,520,520,520,500,558,552,575,598,600,580,600,600,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Asian + Female + Some College,403,415,416,431,461,480,480,480,532,524,550,569,580,600,600,615,600,596,640,673,628,673,673,673,750,775,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Asian + Female + Bachelors Degree,549,575,600,640,646,692,700,692,720,769,800,800,831,904,923,930,904,961,962,1000,1000,1057,1049,1057,1154,1200,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Asian + Female + Advanced Degree,769,750,806,848,842,923,880,944,904,1000,1058,1080,1115,1154,1154,1250,1165,1250,1244,1327,1346,1403,1442,1442,1578,1635,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
