,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20
total,480.0,490.0,500.0,526.0,550.0,576.0,596.0,601.0,623.0,644.0,665.0,680.0,700.0,736.0,760.0,769.0,769.0,796.0,800.0,807.0,808.0,841.0,865.0,900.0,939.0,1000.0
total men,550.0,564.0,576.0,600.0,620.0,650.0,675.0,692.0,701.0,727.0,743.0,769.0,792.0,820.0,850.0,850.0,865.0,880.0,894.0,900.0,920.0,942.0,962.0,1000.0,1032.0,1115.0
total women,400.0,414.0,425.0,450.0,462.0,480.0,500.0,528.0,550.0,560.0,577.0,600.0,614.0,644.0,665.0,673.0,692.0,698.0,720.0,730.0,720.0,751.0,769.0,798.0,814.0,900.0
Less than HS,300.0,300.0,312.0,320.0,330.0,346.0,360.0,380.0,400.0,400.0,400.0,400.0,420.0,440.0,440.0,440.0,450.0,462.0,468.0,480.0,480.0,500.0,520.0,550.0,600.0,600.0
High School,400.0,416.0,430.0,450.0,461.0,480.0,500.0,508.0,520.0,540.0,559.0,573.0,580.0,600.0,600.0,600.0,620.0,634.0,640.0,650.0,650.0,668.0,680.0,710.0,720.0,769.0
Some College,470.0,480.0,500.0,512.0,530.0,553.0,576.0,600.0,600.0,615.0,634.0,650.0,673.0,688.0,692.0,700.0,702.0,720.0,720.0,731.0,726.0,750.0,769.0,800.0,808.0,865.0
Bachelors Degree,656.0,673.0,692.0,730.0,769.0,788.0,807.0,838.0,865.0,865.0,900.0,935.0,962.0,968.0,1000.0,1000.0,1000.0,1019.0,1058.0,1058.0,1077.0,1115.0,1153.0,1154.0,1200.0,1250.0
Advanced Degree,884.0,910.0,937.0,961.0,1000.0,1000.0,1057.0,1096.0,1115.0,1154.0,1154.0,1200.0,1240.0,1279.0,1327.0,1346.0,1346.0,1384.0,1385.0,1372.0,1385.0,1442.0,1442.0,1500.0,1538.0,1615.0
Male + Less than HS,330.0,340.0,350.0,360.0,368.0,384.0,400.0,400.0,420.0,425.0,440.0,450.0,468.0,481.0,483.0,480.0,480.0,500.0,500.0,519.0,520.0,556.0,577.0,600.0,640.0,670.0
Male + High School,480.0,495.0,500.0,520.0,540.0,560.0,576.0,600.0,600.0,612.0,620.0,650.0,667.0,688.0,694.0,692.0,700.0,720.0,720.0,731.0,738.0,747.0,769.0,800.0,807.0,860.0
Male + Some College,550.0,570.0,576.0,600.0,617.0,650.0,680.0,690.0,700.0,720.0,730.0,760.0,769.0,800.0,800.0,800.0,804.0,808.0,808.0,838.0,848.0,865.0,880.0,923.0,962.0,1000.0
Male + Bachelors Degree,750.0,769.0,800.0,846.0,884.0,923.0,961.0,961.0,1000.0,1000.0,1038.0,1058.0,1106.0,1154.0,1154.0,1154.0,1154.0,1200.0,1242.0,1211.0,1250.0,1292.0,1346.0,1346.0,1385.0,1447.0
Male + Advanced Degree,1000.0,1000.0,1050.0,1076.0,1153.0,1153.0,1242.0,1250.0,1278.0,1346.0,1364.0,1423.0,1442.0,1500.0,1538.0,1538.0,1538.0,1596.0,1615.0,1615.0,1618.0,1654.0,1730.0,1750.0,1846.0,1923.0
Female + Less than HS,250.0,254.0,270.0,280.0,280.0,300.0,310.0,320.0,329.0,339.0,344.0,360.0,362.0,375.0,385.0,400.0,400.0,397.0,400.0,400.0,402.0,420.0,440.0,470.0,481.0,525.0
Female + High School,345.0,350.0,360.0,380.0,396.0,400.0,421.0,440.0,450.0,464.0,480.0,480.0,500.0,510.0,520.0,525.0,544.0,540.0,557.0,560.0,560.0,576.0,590.0,600.0,614.0,652.0
Female + Some College,400.0,403.0,420.0,440.0,452.0,480.0,500.0,507.0,520.0,538.0,552.0,566.0,577.0,600.0,600.0,600.0,615.0,630.0,630.0,635.0,634.0,650.0,673.0,680.0,711.0,760.0
Female + Bachelors Degree,560.0,576.0,586.0,623.0,650.0,673.0,700.0,720.0,750.0,769.0,769.0,800.0,823.0,850.0,865.0,865.0,888.0,885.0,929.0,947.0,950.0,961.0,1000.0,1000.0,1057.0,1100.0
Female + Advanced Degree,769.0,769.0,788.0,826.0,865.0,865.0,900.0,923.0,961.0,971.0,1000.0,1019.0,1058.0,1115.0,1153.0,1154.0,1154.0,1154.0,1200.0,1192.0,1192.0,1250.0,1269.0,1308.0,1346.0,1423.0
White,500.0,500.0,519.0,548.0,567.0,576.0,600.0,625.0,640.0,668.0,680.0,696.0,720.0,760.0,769.0,769.0,800.0,800.0,810.0,830.0,840.0,865.0,900.0,923.0,961.0,1000.0
White + Less than HS,300.0,310.0,320.0,325.0,340.0,350.0,369.0,390.0,400.0,400.0,400.0,408.0,428.0,450.0,450.0,440.0,450.0,480.0,480.0,480.0,491.0,500.0,520.0,560.0,600.0,615.0
White + High School,420.0,435.0,444.0,461.0,480.0,492.0,509.0,520.0,540.0,560.0,576.0,589.0,600.0,615.0,630.0,625.0,640.0,653.0,660.0,673.0,676.0,688.0,715.0,740.0,760.0,800.0
White + Some College,480.0,495.0,500.0,529.0,550.0,570.0,596.0,600.0,615.0,635.0,650.0,673.0,688.0,700.0,715.0,720.0,731.0,741.0,744.0,760.0,753.0,769.0,800.0,810.0,850.0,900.0
White + Bachelors Degree,673.0,673.0,700.0,750.0,769.0,805.0,834.0,865.0,865.0,885.0,923.0,961.0,962.0,1000.0,1000.0,1000.0,1038.0,1040.0,1058.0,1076.0,1100.0,1153.0,1154.0,1160.0,1212.0,1269.0
White + Advanced Degree,903.0,923.0,960.0,961.0,1000.0,1038.0,1076.0,1113.0,1136.0,1154.0,1177.0,1231.0,1250.0,1288.0,1346.0,1346.0,1346.0,1385.0,1385.0,1375.0,1385.0,1442.0,1442.0,1500.0,1538.0,1600.0
Hispanic or Latino,340.0,350.0,360.0,380.0,400.0,400.0,440.0,450.0,441.0,458.0,480.0,480.0,500.0,538.0,548.0,547.0,560.0,576.0,577.0,590.0,600.0,620.0,650.0,680.0,700.0,760.0
Hispanic or Latino + Less than HS,266.0,276.0,280.0,300.0,300.0,320.0,340.0,356.0,360.0,360.0,391.0,400.0,400.0,420.0,404.0,400.0,420.0,440.0,440.0,460.0,474.0,481.0,500.0,540.0,580.0,600.0
Hispanic or Latino + High School,350.0,352.0,360.0,398.0,400.0,400.0,440.0,442.0,450.0,460.0,480.0,480.0,500.0,520.0,520.0,520.0,540.0,546.0,560.0,560.0,576.0,600.0,612.0,640.0,655.0,700.0
Hispanic or Latino + Some College,406.0,413.0,440.0,450.0,461.0,480.0,520.0,538.0,532.0,550.0,560.0,577.0,596.0,610.0,600.0,600.0,615.0,625.0,615.0,640.0,644.0,673.0,680.0,715.0,720.0,769.0
Hispanic or Latino + Bachelors Degree,576.0,600.0,626.0,653.0,692.0,700.0,722.0,750.0,725.0,769.0,769.0,770.0,807.0,850.0,865.0,850.0,923.0,900.0,894.0,919.0,950.0,990.0,962.0,962.0,1000.0,1080.0
Hispanic or Latino + Advanced Degree,807.0,865.0,769.0,818.0,923.0,923.0,923.0,954.0,961.0,985.0,1077.0,1038.0,1146.0,1140.0,1250.0,1250.0,1173.0,1200.0,1284.0,1200.0,1250.0,1300.0,1304.0,1346.0,1409.0,1442.0
White + Male,576.0,576.0,600.0,615.0,643.0,673.0,692.0,711.0,730.0,750.0,768.0,776.0,800.0,850.0,865.0,865.0,884.0,904.0,920.0,923.0,948.0,962.0,996.0,1002.0,1057.0,1150.0
Hispanic or Latino + Male,360.0,360.0,380.0,400.0,411.0,426.0,461.0,480.0,470.0,480.0,484.0,500.0,520.0,560.0,576.0,562.0,577.0,600.0,600.0,600.0,629.0,673.0,692.0,720.0,750.0,800.0
White + Male + Less than HS,346.0,346.0,350.0,360.0,374.0,385.0,400.0,400.0,420.0,438.0,442.0,458.0,480.0,496.0,492.0,480.0,495.0,519.0,500.0,520.0,520.0,560.0,600.0,600.0,650.0,680.0
Hispanic or Latino + Male + Less than HS,280.0,292.0,300.0,320.0,323.0,346.0,360.0,384.0,400.0,400.0,400.0,400.0,420.0,460.0,450.0,436.0,444.0,480.0,480.0,481.0,500.0,520.0,560.0,600.0,616.0,640.0
White + Male + High School,500.0,500.0,520.0,540.0,560.0,576.0,600.0,600.0,610.0,640.0,640.0,673.0,680.0,710.0,720.0,720.0,720.0,740.0,750.0,760.0,769.0,769.0,800.0,821.0,858.0,880.0
Hispanic or Latino + Male + High School,390.0,390.0,400.0,423.0,440.0,440.0,480.0,500.0,484.0,496.0,500.0,520.0,550.0,560.0,560.0,570.0,580.0,600.0,600.0,600.0,610.0,640.0,680.0,713.0,720.0,760.0
White + Male + Some College,570.0,576.0,600.0,615.0,640.0,673.0,696.0,700.0,720.0,743.0,750.0,769.0,800.0,808.0,820.0,832.0,839.0,846.0,850.0,865.0,866.0,880.0,920.0,961.0,1000.0,1019.0
Hispanic or Latino + Male + Some College,480.0,480.0,480.0,500.0,538.0,550.0,577.0,600.0,600.0,600.0,608.0,631.0,672.0,680.0,692.0,680.0,692.0,700.0,700.0,724.0,731.0,750.0,760.0,800.0,800.0,846.0
White + Male + Bachelors Degree,769.0,769.0,807.0,865.0,913.0,950.0,961.0,1000.0,1000.0,1019.0,1058.0,1096.0,1153.0,1154.0,1200.0,1154.0,1192.0,1220.0,1250.0,1250.0,1269.0,1346.0,1346.0,1346.0,1423.0,1500.0
Hispanic or Latino + Male + Bachelors Degree,615.0,645.0,692.0,750.0,769.0,769.0,807.0,813.0,769.0,840.0,830.0,860.0,884.0,950.0,962.0,1000.0,1000.0,1000.0,1000.0,1038.0,1000.0,1147.0,1048.0,1066.0,1154.0,1250.0
White + Male + Advanced Degree,1000.0,1038.0,1057.0,1107.0,1153.0,1153.0,1250.0,1282.0,1310.0,1346.0,1385.0,1442.0,1442.0,1522.0,1538.0,1558.0,1596.0,1634.0,1634.0,1626.0,1635.0,1673.0,1731.0,1769.0,1846.0,1923.0
Hispanic or Latino + Male + Advanced Degree,903.0,923.0,804.0,945.0,1052.0,1038.0,1000.0,1076.0,1057.0,1153.0,1260.0,1211.0,1250.0,1346.0,1402.0,1385.0,1384.0,1346.0,1500.0,1471.0,1442.0,1538.0,1560.0,1500.0,1538.0,1600.0
White + Female,404.0,422.0,440.0,460.0,479.0,490.0,519.0,540.0,560.0,576.0,591.0,600.0,624.0,655.0,673.0,680.0,700.0,712.0,730.0,745.0,740.0,769.0,800.0,807.0,840.0,920.0
Hispanic or Latino + Female,307.0,320.0,323.0,346.0,360.0,378.0,400.0,408.0,404.0,414.0,440.0,442.0,470.0,500.0,508.0,510.0,520.0,523.0,547.0,546.0,560.0,577.0,600.0,608.0,640.0,700.0
White + Female + Less than HS,250.0,253.0,270.0,280.0,280.0,300.0,310.0,320.0,327.0,338.0,346.0,354.0,362.0,372.0,384.0,390.0,400.0,400.0,400.0,400.0,405.0,420.0,440.0,480.0,490.0,520.0
Hispanic or Latino + Female + Less than HS,235.0,240.0,250.0,250.0,260.0,280.0,300.0,300.0,320.0,320.0,325.0,330.0,350.0,360.0,360.0,361.0,384.0,370.0,385.0,400.0,400.0,406.0,433.0,459.0,482.0,520.0
White + Female + High School,350.0,352.0,365.0,384.0,400.0,406.0,430.0,442.0,460.0,477.0,480.0,490.0,500.0,520.0,536.0,538.0,558.0,560.0,561.0,576.0,576.0,581.0,600.0,615.0,635.0,673.0
Hispanic or Latino + Female + High School,300.0,318.0,320.0,346.0,360.0,370.0,400.0,400.0,400.0,402.0,414.0,420.0,442.0,469.0,480.0,480.0,480.0,480.0,487.0,498.0,500.0,520.0,539.0,560.0,577.0,600.0
White + Female + Some College,400.0,408.0,423.0,440.0,461.0,480.0,500.0,519.0,531.0,546.0,560.0,576.0,580.0,600.0,615.0,615.0,630.0,640.0,640.0,644.0,646.0,673.0,684.0,700.0,720.0,769.0
Hispanic or Latino + Female + Some College,369.0,369.0,400.0,400.0,414.0,440.0,458.0,480.0,470.0,490.0,500.0,519.0,520.0,560.0,560.0,573.0,560.0,577.0,576.0,576.0,580.0,600.0,613.0,634.0,650.0,700.0
White + Female + Bachelors Degree,568.0,576.0,596.0,634.0,653.0,676.0,700.0,730.0,750.0,769.0,769.0,807.0,828.0,846.0,865.0,865.0,900.0,900.0,926.0,952.0,950.0,962.0,1000.0,1000.0,1057.0,1108.0
Hispanic or Latino + Female + Bachelors Degree,525.0,565.0,576.0,594.0,615.0,624.0,651.0,653.0,673.0,710.0,692.0,730.0,769.0,769.0,769.0,769.0,831.0,800.0,807.0,826.0,865.0,865.0,885.0,880.0,939.0,1000.0
White + Female + Advanced Degree,769.0,770.0,800.0,826.0,865.0,884.0,904.0,937.0,962.0,978.0,1000.0,1038.0,1058.0,1116.0,1154.0,1154.0,1154.0,1154.0,1200.0,1192.0,1192.0,1250.0,1275.0,1310.0,1346.0,1400.0
Hispanic or Latino + Female + Advanced Degree,761.0,769.0,692.0,706.0,769.0,774.0,807.0,820.0,859.0,923.0,923.0,962.0,1000.0,1000.0,1154.0,1090.0,1098.0,1105.0,1058.0,1057.0,1135.0,1137.0,1154.0,1154.0,1346.0,1346.0
Black,384.0,400.0,400.0,437.0,450.0,480.0,483.0,500.0,519.0,528.0,530.0,560.0,577.0,600.0,600.0,620.0,630.0,642.0,650.0,650.0,642.0,676.0,680.0,700.0,750.0,800.0
Black + Less than HS,280.0,284.0,300.0,300.0,307.0,322.0,323.0,350.0,365.0,360.0,360.0,393.0,400.0,400.0,400.0,404.0,414.0,400.0,430.0,450.0,423.0,440.0,478.0,460.0,520.0,560.0
Black + High School,341.0,346.0,360.0,384.0,400.0,409.0,425.0,442.0,458.0,480.0,473.0,480.0,481.0,500.0,520.0,525.0,536.0,538.0,540.0,560.0,550.0,562.0,576.0,600.0,600.0,662.0
Black + Some College,400.0,405.0,420.0,450.0,460.0,484.0,500.0,506.0,520.0,525.0,538.0,560.0,577.0,590.0,600.0,600.0,600.0,600.0,600.0,613.0,610.0,640.0,665.0,650.0,690.0,731.0
Black + Bachelors Degree,575.0,576.0,576.0,600.0,673.0,680.0,711.0,739.0,760.0,769.0,769.0,772.0,807.0,850.0,846.0,865.0,885.0,865.0,960.0,900.0,943.0,900.0,923.0,961.0,1000.0,1057.0
Black + Advanced Degree,769.0,758.0,750.0,800.0,865.0,846.0,884.0,923.0,921.0,1000.0,1000.0,1015.0,1065.0,1153.0,1135.0,1073.0,1077.0,1223.0,1200.0,1154.0,1154.0,1154.0,1192.0,1250.0,1292.0,1388.0
Black + Male,412.0,420.0,440.0,480.0,486.0,508.0,520.0,540.0,560.0,572.0,563.0,600.0,600.0,635.0,640.0,653.0,680.0,692.0,680.0,700.0,700.0,720.0,720.0,760.0,784.0,850.0
Black + Male + Less than HS,300.0,320.0,320.0,325.0,360.0,364.0,362.0,386.0,400.0,400.0,400.0,400.0,440.0,440.0,445.0,443.0,440.0,442.0,460.0,462.0,480.0,480.0,481.0,500.0,576.0,600.0
Black + Male + High School,384.0,384.0,400.0,430.0,444.0,460.0,480.0,494.0,500.0,500.0,500.0,525.0,520.0,560.0,573.0,577.0,592.0,592.0,580.0,600.0,600.0,600.0,625.0,650.0,673.0,720.0
Black + Male + Some College,432.0,450.0,475.0,500.0,500.0,540.0,562.0,561.0,576.0,580.0,600.0,600.0,634.0,640.0,640.0,649.0,673.0,680.0,652.0,673.0,700.0,725.0,720.0,750.0,769.0,800.0
Black + Male + Bachelors Degree,600.0,615.0,615.0,673.0,730.0,711.0,761.0,788.0,763.0,808.0,807.0,865.0,865.0,874.0,900.0,951.0,962.0,962.0,971.0,923.0,1000.0,962.0,962.0,1000.0,1057.0,1154.0
Black + Male + Advanced Degree,777.0,798.0,846.0,885.0,955.0,961.0,1057.0,961.0,960.0,1054.0,1057.0,1154.0,1153.0,1211.0,1200.0,1250.0,1154.0,1346.0,1269.0,1346.0,1288.0,1288.0,1300.0,1400.0,1442.0,1538.0
Black + Female,360.0,366.0,380.0,400.0,409.0,440.0,460.0,480.0,490.0,500.0,500.0,520.0,550.0,576.0,595.0,600.0,600.0,600.0,615.0,615.0,600.0,640.0,661.0,653.0,700.0,769.0
Black + Female + Less than HS,260.0,260.0,264.0,270.0,280.0,300.0,300.0,317.0,328.0,320.0,338.0,360.0,360.0,381.0,393.0,398.0,400.0,368.0,400.0,418.0,400.0,400.0,440.0,420.0,480.0,520.0
Black + Female + High School,307.0,320.0,320.0,350.0,356.0,377.0,396.0,400.0,420.0,440.0,430.0,440.0,464.0,480.0,490.0,481.0,485.0,495.0,500.0,500.0,480.0,519.0,520.0,540.0,560.0,600.0
Black + Female + Some College,375.0,395.0,397.0,410.0,423.0,450.0,480.0,480.0,490.0,500.0,500.0,520.0,539.0,568.0,575.0,576.0,576.0,577.0,577.0,577.0,573.0,600.0,609.0,600.0,638.0,692.0
Black + Female + Bachelors Degree,530.0,538.0,555.0,578.0,634.0,660.0,682.0,687.0,750.0,720.0,711.0,760.0,769.0,808.0,816.0,827.0,824.0,808.0,904.0,865.0,900.0,846.0,900.0,923.0,961.0,1000.0
Black + Female + Advanced Degree,745.0,726.0,692.0,769.0,826.0,775.0,807.0,888.0,903.0,961.0,962.0,962.0,1057.0,1058.0,1058.0,1000.0,1038.0,1145.0,1154.0,1096.0,1058.0,1150.0,1115.0,1154.0,1225.0,1269.0
Asian,480.0,480.0,500.0,531.0,576.0,600.0,613.0,623.0,673.0,673.0,720.0,761.0,800.0,827.0,840.0,810.0,840.0,884.0,920.0,944.0,961.0,1000.0,1000.0,1057.0,1153.0,1250.0
Asian + Less than HS,282.0,300.0,300.0,320.0,320.0,334.0,360.0,360.0,371.0,400.0,384.0,450.0,400.0,420.0,429.0,448.0,440.0,450.0,440.0,480.0,462.0,500.0,500.0,520.0,552.0,600.0
Asian + High School,364.0,365.0,384.0,400.0,420.0,448.0,456.0,472.0,480.0,480.0,502.0,520.0,550.0,560.0,568.0,576.0,560.0,562.0,577.0,600.0,600.0,623.0,625.0,660.0,680.0,700.0
Asian + Some College,461.0,448.0,464.0,480.0,507.0,530.0,540.0,560.0,577.0,577.0,600.0,600.0,650.0,640.0,650.0,670.0,673.0,673.0,692.0,710.0,700.0,720.0,750.0,769.0,800.0,865.0
Asian + Bachelors Degree,615.0,634.0,653.0,692.0,720.0,769.0,800.0,800.0,800.0,865.0,880.0,923.0,962.0,1000.0,980.0,1000.0,1000.0,1058.0,1130.0,1120.0,1153.0,1154.0,1250.0,1200.0,1346.0,1346.0
Asian + Advanced Degree,847.0,880.0,950.0,923.0,961.0,1057.0,1150.0,1153.0,1153.0,1240.0,1250.0,1250.0,1269.0,1385.0,1360.0,1442.0,1385.0,1442.0,1500.0,1538.0,1538.0,1635.0,1635.0,1654.0,1846.0,1903.0
Asian + Male,550.0,571.0,576.0,600.0,640.0,680.0,712.0,730.0,769.0,769.0,800.0,848.0,923.0,961.0,942.0,923.0,961.0,1000.0,1038.0,1019.0,1076.0,1115.0,1154.0,1200.0,1250.0,1400.0
Asian + Male + Less than HS,320.0,320.0,320.0,346.0,360.0,364.0,370.0,384.0,400.0,432.0,406.0,466.0,443.0,481.0,481.0,480.0,480.0,462.0,480.0,500.0,480.0,574.0,566.0,577.0,600.0,600.0
Asian + Male + High School,400.0,424.0,400.0,440.0,458.0,500.0,500.0,535.0,518.0,530.0,553.0,568.0,601.0,595.0,600.0,607.0,600.0,615.0,600.0,625.0,640.0,668.0,685.0,750.0,720.0,786.0
Asian + Male + Some College,500.0,480.0,500.0,520.0,576.0,600.0,615.0,617.0,660.0,600.0,640.0,665.0,720.0,692.0,712.0,707.0,750.0,720.0,775.0,747.0,769.0,800.0,800.0,852.0,875.0,962.0
Asian + Male + Bachelors Degree,692.0,680.0,720.0,750.0,800.0,850.0,876.0,923.0,923.0,961.0,962.0,1038.0,1096.0,1153.0,1057.0,1101.0,1154.0,1192.0,1250.0,1229.0,1250.0,1317.0,1397.0,1384.0,1500.0,1519.0
Asian + Male + Advanced Degree,924.0,961.0,1000.0,961.0,1090.0,1169.0,1218.0,1250.0,1250.0,1346.0,1385.0,1423.0,1442.0,1538.0,1505.0,1538.0,1538.0,1538.0,1692.0,1730.0,1720.0,1846.0,1796.0,1836.0,1961.0,1971.0
Asian + Female,420.0,426.0,450.0,462.0,500.0,520.0,530.0,538.0,576.0,577.0,635.0,664.0,692.0,730.0,758.0,750.0,740.0,760.0,800.0,833.0,840.0,865.0,890.0,903.0,1000.0,1098.0
Asian + Female + Less than HS,250.0,266.0,280.0,294.0,300.0,304.0,330.0,350.0,350.0,360.0,355.0,400.0,380.0,396.0,400.0,423.0,413.0,411.0,400.0,420.0,450.0,450.0,450.0,480.0,480.0,600.0
Asian + Female + High School,323.0,325.0,355.0,352.0,400.0,400.0,400.0,421.0,440.0,440.0,480.0,481.0,481.0,515.0,520.0,520.0,520.0,500.0,558.0,552.0,575.0,598.0,600.0,580.0,600.0,600.0
Asian + Female + Some College,403.0,415.0,416.0,431.0,461.0,480.0,480.0,480.0,532.0,524.0,550.0,569.0,580.0,600.0,600.0,615.0,600.0,596.0,640.0,673.0,628.0,673.0,673.0,673.0,750.0,775.0
Asian + Female + Bachelors Degree,549.0,575.0,600.0,640.0,646.0,692.0,700.0,692.0,720.0,769.0,800.0,800.0,831.0,904.0,923.0,930.0,904.0,961.0,962.0,1000.0,1000.0,1057.0,1049.0,1057.0,1154.0,1200.0
Asian + Female + Advanced Degree,769.0,750.0,806.0,848.0,842.0,923.0,880.0,944.0,904.0,1000.0,1058.0,1080.0,1115.0,1154.0,1154.0,1250.0,1165.0,1250.0,1244.0,1327.0,1346.0,1403.0,1442.0,1442.0,1578.0,1635.0
